genre,count
Children & Family Movies,378
Comedies,1113
Stand-Up Comedy,281
Kids' TV,328
Crime TV Shows,363
International TV Shows,1001
Spanish-Language TV Shows,117
International Movies,1927
Sci-Fi & Fantasy,193
Thrillers,392
Docuseries,279
Science & Nature TV,67
Action & Adventure,597
Dramas,1623
Cult Movies,55
Independent Movies,552
Romantic Movies,376
Documentaries,668
Horror Movies,262
Romantic TV Shows,278
TV Comedies,436
TV Dramas,599
TV Thrillers,44
TV Mysteries,69
British TV Shows,210
Music & Musicals,243
Reality TV,153
TV Action & Adventure,126
Anime Features,45
Teen TV Shows,44
Faith & Spirituality,47
Korean TV Shows,132
Anime Series,117
LGBTQ Movies,60
TV Horror,54
Movies,56
Stand-Up Comedy & Talk Shows,42
TV Sci-Fi & Fantasy,68
Classic Movies,84
Sports Movies,157
TV Shows,10
Classic & Cult TV,24
