,source,target,sourcename,targetname
0,1,2,Faizon Love,Kirk Fox
1,1,3,Faizon Love,Tony Todd
2,1,4,Faizon Love,Pearl Thusi
3,1,5,Faizon Love,Cassie Clare
4,1,6,Faizon Love,Fiona Ramsey
5,1,7,Faizon Love,Neels Clasen
6,1,8,Faizon Love,Roxy Nel
7,2,3,Kirk Fox,Tony Todd
8,2,4,Kirk Fox,Pearl Thusi
9,2,5,Kirk Fox,Cassie Clare
10,2,6,Kirk Fox,Fiona Ramsey
11,2,7,Kirk Fox,Neels Clasen
12,2,8,Kirk Fox,Roxy Nel
13,3,4,Tony Todd,Pearl Thusi
14,3,5,Tony Todd,Cassie Clare
15,3,6,Tony Todd,Fiona Ramsey
16,3,7,Tony Todd,Neels Clasen
17,3,8,Tony Todd,Roxy Nel
18,4,5,Pearl Thusi,Cassie Clare
19,4,6,Pearl Thusi,Fiona Ramsey
20,4,7,Pearl Thusi,Neels Clasen
21,4,8,Pearl Thusi,Roxy Nel
22,5,6,Cassie Clare,Fiona Ramsey
23,5,7,Cassie Clare,Neels Clasen
24,5,8,Cassie Clare,Roxy Nel
25,6,7,Fiona Ramsey,Neels Clasen
26,6,8,Fiona Ramsey,Roxy Nel
27,7,8,Neels Clasen,Roxy Nel
28,10,11,Oscar Martínez,Inma Cuesta
29,10,12,Oscar Martínez,Mafalda Carbonell
30,10,13,Oscar Martínez,Nacho López
31,10,14,Oscar Martínez,Isabel Requena
32,10,15,Oscar Martínez,Aina Clotet
33,10,16,Oscar Martínez,Antonio Valero
34,10,17,Oscar Martínez,María Zamora
35,10,18,Oscar Martínez,Hugo Balaguer
36,10,19,Oscar Martínez,Valeria Schoneveld
37,11,12,Inma Cuesta,Mafalda Carbonell
38,11,13,Inma Cuesta,Nacho López
39,11,14,Inma Cuesta,Isabel Requena
40,11,15,Inma Cuesta,Aina Clotet
41,11,16,Inma Cuesta,Antonio Valero
42,11,17,Inma Cuesta,María Zamora
43,11,18,Inma Cuesta,Hugo Balaguer
44,11,19,Inma Cuesta,Valeria Schoneveld
45,12,13,Mafalda Carbonell,Nacho López
46,12,14,Mafalda Carbonell,Isabel Requena
47,12,15,Mafalda Carbonell,Aina Clotet
48,12,16,Mafalda Carbonell,Antonio Valero
49,12,17,Mafalda Carbonell,María Zamora
50,12,18,Mafalda Carbonell,Hugo Balaguer
51,12,19,Mafalda Carbonell,Valeria Schoneveld
52,13,14,Nacho López,Isabel Requena
53,13,15,Nacho López,Aina Clotet
54,13,16,Nacho López,Antonio Valero
55,13,17,Nacho López,María Zamora
56,13,18,Nacho López,Hugo Balaguer
57,13,19,Nacho López,Valeria Schoneveld
58,14,15,Isabel Requena,Aina Clotet
59,14,16,Isabel Requena,Antonio Valero
60,14,17,Isabel Requena,María Zamora
61,14,18,Isabel Requena,Hugo Balaguer
62,14,19,Isabel Requena,Valeria Schoneveld
63,15,16,Aina Clotet,Antonio Valero
64,15,17,Aina Clotet,María Zamora
65,15,18,Aina Clotet,Hugo Balaguer
66,15,19,Aina Clotet,Valeria Schoneveld
67,16,17,Antonio Valero,María Zamora
68,16,18,Antonio Valero,Hugo Balaguer
69,16,19,Antonio Valero,Valeria Schoneveld
70,17,18,María Zamora,Hugo Balaguer
71,17,19,María Zamora,Valeria Schoneveld
72,18,19,Hugo Balaguer,Valeria Schoneveld
73,20,21,Claes Bang,Dolly Wells
74,20,22,Claes Bang,John Heffernan
75,21,22,Dolly Wells,John Heffernan
76,23,24,Alan C. Lim,Paul Killam
77,23,25,Alan C. Lim,Maisie Benson
78,23,26,Alan C. Lim,Kerry Gudjohnsen
79,23,27,Alan C. Lim,Smith Foreman
